"Martinod, J., Husson, L., Roperch, P., Guillaume, B., Espurt, N.","55897139800;36449031800;6603475636;23980020900;16645598300;","Horizontal subduction zones, convergence velocity and the building of the Andes",2010,"Earth and Planetary Science Letters","299","3-4",,"299","309",,143,"10.1016/j.epsl.2010.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049291379&doi=10.1016%2fj.epsl.2010.09.010&partnerID=40&md5=b0dd39a32b9cefe50562280cfa6fda77",Article,"Final","All Open Access, Green",Scopus,2-s2.0-78049291379
"Otamendi, J.E., Pinotti, L.P., Basei, M.A.S., Tibaldi, A.M.","6603624937;6603042221;6602668732;7003575367;","Evaluation of petrogenetic models for intermediate and silicic plutonic rocks from the Sierra de Valle Fértil-La Huerta, Argentina: Petrologic constraints on the origin of igneous rocks in the Ordovician Famatinian-Puna paleoarc",2010,"Journal of South American Earth Sciences","30","1",,"29","45",,26,"10.1016/j.jsames.2010.07.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958082154&doi=10.1016%2fj.jsames.2010.07.004&partnerID=40&md5=2dded229264fea98644eab68a8f6e432",Article,"Final","",Scopus,2-s2.0-77958082154
"Reich, M., Chryssoulis, S.L., Deditius, A., Palacios, C., Zúñiga, A., Weldt, M., Alvear, M.","35389550600;7003888074;19640043300;7006887862;8342825400;36451706200;26427970500;",""" Invisible"" silver and gold in supergene digenite (Cu1.8S)",2010,"Geochimica et Cosmochimica Acta","74","21",,"6157","6173",,61,"10.1016/j.gca.2010.07.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956881930&doi=10.1016%2fj.gca.2010.07.026&partnerID=40&md5=ada61995c5c84cb9e968720ea6866f80",Article,"Final","",Scopus,2-s2.0-77956881930
"Ruggieri, F., Saavedra, J., Fernandez-Turiel, J.L., Gimeno, D., Garcia-Valles, M.","25926081000;7202229189;7003843565;56232012600;55963465800;","Environmental geochemistry of ancient volcanic ashes",2010,"Journal of Hazardous Materials","183","1-3",,"353","365",,43,"10.1016/j.jhazmat.2010.07.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956438063&doi=10.1016%2fj.jhazmat.2010.07.032&partnerID=40&md5=dde2e1a32096ee2066f08ff8e48ac393",Article,"Final","All Open Access, Green",Scopus,2-s2.0-77956438063
"Schwarzer, C., Huamaní, F.C., Cano, A., La Torre, M.I., Weigend, M.","36497244700;36138739300;24450063900;36497091900;55894034200;","400 years for long-distance dispersal and divergence in the northern Atacama desert - Insights from the Huaynaputina pumice slopes of Moquegua, Peru",2010,"Journal of Arid Environments","74","11",,"1540","1551",,27,"10.1016/j.jaridenv.2010.05.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956225397&doi=10.1016%2fj.jaridenv.2010.05.034&partnerID=40&md5=1caa341128175e8da69b19c4ca9c40f8",Article,"Final","",Scopus,2-s2.0-77956225397
"Standen, V.G., Arriaza, B.T., Santoro, C.M., Romero, Á., Rothhammer, F.","6602356440;6602846124;7004920399;55437164000;7006806972;","Perimortem trauma in the Atacama Desert and social violence during the late Formative period (2500-1700 years BP)",2010,"International Journal of Osteoarchaeology","20","6",,"693","707",,11,"10.1002/oa.1095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954532157&doi=10.1002%2foa.1095&partnerID=40&md5=d8c1d7169000192d96d9a1cf5221f7ce",Article,"Final","",Scopus,2-s2.0-77954532157
"Rao, B., Hatzinger, P.B., Böhlke, J.K., Sturchio, N.C., Andraski, B.J., Eckardt, F.D., Jackson, W.A.","7403489670;6602124610;7004491698;7004475068;6701364041;7004378829;7401888610;","Natural chlorate in the environment: Application of a new IC-ESI/MS/MS method with a Cl18O3- internal standard",2010,"Environmental Science and Technology","44","22",,"8429","8434",,63,"10.1021/es1024228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449238658&doi=10.1021%2fes1024228&partnerID=40&md5=2511265b06983065e0ddcd11d9412a5e",Article,"Final","",Scopus,2-s2.0-78449238658
"Tassara, A.","6701640620;","Control of forearc density structure on megathrust shear strength along the Chilean subduction zone",2010,"Tectonophysics","495","1-2",,"34","47",,32,"10.1016/j.tecto.2010.06.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649713309&doi=10.1016%2fj.tecto.2010.06.004&partnerID=40&md5=aa307524f51e942edb60ee7dbba5727f",Article,"Final","",Scopus,2-s2.0-78649713309
"Juez-Larré, J., Kukowski, N., Dunai, T.J., Hartley, A.J., Andriessen, P.A.M.","9236415900;6603816792;6603584767;7102080781;7003349952;","Thermal and exhumation history of the Coastal Cordillera arc of northern Chile revealed by thermochronological dating",2010,"Tectonophysics","495","1-2",,"48","66",,27,"10.1016/j.tecto.2010.06.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649696282&doi=10.1016%2fj.tecto.2010.06.018&partnerID=40&md5=a9be38e803187c00d523b74b049157fb",Article,"Final","",Scopus,2-s2.0-78649696282
"Hartley, A.J., Evenstar, L.","7102080781;26653575300;","Cenozoic stratigraphic development in the north Chilean forearc: Implications for basin development and uplift history of the Central Andean margin",2010,"Tectonophysics","495","1-2",,"67","77",,34,"10.1016/j.tecto.2009.05.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957569918&doi=10.1016%2fj.tecto.2009.05.013&partnerID=40&md5=ba722b7c0b135a4b7d96d61ebf834c0b",Article,"Final","",Scopus,2-s2.0-77957569918
